Entity,Code,Year,"Crude divorce rate (per 1,000 inhabitants)"
Australia,AUS,1970,1
Australia,AUS,1980,2.7
Australia,AUS,1981,2.8
Australia,AUS,1982,2.9000001
Australia,AUS,1983,2.8
Australia,AUS,1984,2.8
Australia,AUS,1985,2.5
Australia,AUS,1986,2.5
Australia,AUS,1987,2.4000001
Australia,AUS,1988,2.5
Australia,AUS,1989,2.5
Australia,AUS,1990,2.5
Australia,AUS,1991,2.5999999
Australia,AUS,1992,2.5999999
Australia,AUS,1993,2.7
Australia,AUS,1994,2.7
Australia,AUS,1995,2.8
Australia,AUS,1996,2.9000001
Australia,AUS,1997,2.8
Australia,AUS,1998,2.7
Australia,AUS,1999,2.8
Australia,AUS,2000,2.5999999
Australia,AUS,2001,2.8
Australia,AUS,2002,2.7
Australia,AUS,2003,2.7
Australia,AUS,2004,2.5999999
Australia,AUS,2005,2.5999999
Australia,AUS,2006,2.5
Australia,AUS,2007,2.3
Australia,AUS,2008,2.2
Australia,AUS,2009,2.3
Australia,AUS,2010,2.3
Australia,AUS,2011,2.2
Australia,AUS,2012,2.2
Australia,AUS,2013,2.0999999
Australia,AUS,2014,2
Australia,AUS,2015,2
Australia,AUS,2016,1.9
Australia,AUS,2017,2
Chile,CHL,1995,0.5
Chile,CHL,1996,0.40000001
Chile,CHL,1997,0.40000001
Chile,CHL,1998,0.40000001
Chile,CHL,1999,0.40000001
Chile,CHL,2006,0.2
Chile,CHL,2007,0.1
Chile,CHL,2008,0.1
Chile,CHL,2009,0.1
Chile,CHL,2010,0.1
Ireland,IRL,1997,0
Ireland,IRL,1998,0.40000001
Ireland,IRL,1999,0.60000002
Ireland,IRL,2000,0.69999999
Ireland,IRL,2001,0.69999999
Ireland,IRL,2002,0.69999999
Ireland,IRL,2003,0.69999999
Ireland,IRL,2004,0.80000001
Ireland,IRL,2005,0.80000001
Ireland,IRL,2006,0.89999998
Ireland,IRL,2007,0.80000001
Ireland,IRL,2008,0.80000001
Ireland,IRL,2009,0.69999999
Ireland,IRL,2010,0.69999999
Ireland,IRL,2011,0.60000002
Ireland,IRL,2012,0.60000002
Ireland,IRL,2013,0.60000002
Ireland,IRL,2014,0.60000002
Ireland,IRL,2015,0.69999999
Italy,ITA,1971,0.30000001
Italy,ITA,1972,0.60000002
Italy,ITA,1973,0.30000001
Italy,ITA,1974,0.30000001
Italy,ITA,1975,0.2
Italy,ITA,1976,0.2
Italy,ITA,1977,0.2
Italy,ITA,1978,0.2
Italy,ITA,1979,0.2
Italy,ITA,1980,0.2
Italy,ITA,1981,0.2
Italy,ITA,1982,0.30000001
Italy,ITA,1983,0.2
Italy,ITA,1984,0.30000001
Italy,ITA,1985,0.30000001
Italy,ITA,1986,0.30000001
Italy,ITA,1987,0.5
Italy,ITA,1988,0.5
Italy,ITA,1989,0.5
Italy,ITA,1990,0.5
Italy,ITA,1991,0.5
Italy,ITA,1992,0.5
Italy,ITA,1993,0.40000001
Italy,ITA,1994,0.5
Italy,ITA,1995,0.5
Italy,ITA,1996,0.60000002
Italy,ITA,1997,0.60000002
Italy,ITA,1998,0.60000002
Italy,ITA,1999,0.60000002
Italy,ITA,2000,0.69999999
Italy,ITA,2001,0.69999999
Italy,ITA,2002,0.69999999
Italy,ITA,2003,0.80000001
Italy,ITA,2004,0.80000001
Italy,ITA,2005,0.80000001
Italy,ITA,2006,0.89999998
Italy,ITA,2007,0.89999998
Italy,ITA,2008,0.89999998
Italy,ITA,2009,0.89999998
Italy,ITA,2010,0.89999998
Italy,ITA,2011,0.89999998
Italy,ITA,2012,0.89999998
Italy,ITA,2013,0.89999998
Italy,ITA,2014,0.89999998
Italy,ITA,2015,1.4
Italy,ITA,2016,1.6
Italy,ITA,2017,1.5
Mexico,MEX,1970,0.60000002
Mexico,MEX,1985,0.40000001
Mexico,MEX,1992,0.60000002
Mexico,MEX,1993,0.40000001
Mexico,MEX,1994,0.40000001
Mexico,MEX,1995,0.40000001
Mexico,MEX,1996,0.40000001
Mexico,MEX,1997,0.40000001
Mexico,MEX,1998,0.5
Mexico,MEX,1999,0.5
Mexico,MEX,2000,0.5
Mexico,MEX,2001,0.60000002
Mexico,MEX,2002,0.60000002
Mexico,MEX,2003,0.60000002
Mexico,MEX,2004,0.69999999
Mexico,MEX,2005,0.69999999
Mexico,MEX,2006,0.69999999
Mexico,MEX,2007,0.69999999
Mexico,MEX,2008,0.80000001
Mexico,MEX,2009,0.80000001
Mexico,MEX,2010,0.80000001
Mexico,MEX,2011,0.80000001
Mexico,MEX,2012,0.89999998
Mexico,MEX,2013,0.89999998
Mexico,MEX,2014,0.89999998
Mexico,MEX,2015,1
Mexico,MEX,2016,1.1
Norway,NOR,1960,0.69999999
Norway,NOR,1961,0.69999999
Norway,NOR,1962,0.69999999
Norway,NOR,1963,0.69999999
Norway,NOR,1964,0.69999999
Norway,NOR,1965,0.69999999
Norway,NOR,1966,0.69999999
Norway,NOR,1967,0.80000001
Norway,NOR,1968,0.80000001
Norway,NOR,1969,0.80000001
Norway,NOR,1970,0.89999998
Norway,NOR,1971,1
Norway,NOR,1972,1
Norway,NOR,1973,1.2
Norway,NOR,1974,1.3
Norway,NOR,1975,1.4
Norway,NOR,1976,1.4
Norway,NOR,1977,1.5
Norway,NOR,1978,1.5
Norway,NOR,1979,1.6
Norway,NOR,1980,1.6
Norway,NOR,1981,1.7
Norway,NOR,1982,1.7
Norway,NOR,1983,1.9
Norway,NOR,1984,1.9
Norway,NOR,1985,2
Norway,NOR,1986,1.9
Norway,NOR,1987,2
Norway,NOR,1988,2.0999999
Norway,NOR,1989,2.2
Norway,NOR,1990,2.4000001
Norway,NOR,1991,2.4000001
Norway,NOR,1992,2.4000001
Norway,NOR,1993,2.5
Norway,NOR,1994,2.5
Norway,NOR,1995,2.4000001
Norway,NOR,1996,2.3
Norway,NOR,1997,2.3
Norway,NOR,1998,2.0999999
Norway,NOR,1999,2
Norway,NOR,2000,2.2
Norway,NOR,2001,2.3
Norway,NOR,2002,2.3
Norway,NOR,2003,2.4000001
Norway,NOR,2004,2.4000001
Norway,NOR,2005,2.4000001
Norway,NOR,2006,2.3
Norway,NOR,2007,2.2
Norway,NOR,2008,2.0999999
Norway,NOR,2009,2.0999999
Norway,NOR,2010,2.0999999
Norway,NOR,2011,2.0999999
Norway,NOR,2012,2
Norway,NOR,2013,2
Norway,NOR,2014,1.9
Norway,NOR,2015,1.9
Norway,NOR,2016,1.9
Norway,NOR,2017,2
Peru,PER,1968,0.2
Peru,PER,1997,0.1
Peru,PER,1998,0.1
Singapore,SGP,1979,0.60000002
Singapore,SGP,1985,0.69999999
Singapore,SGP,1995,1.2
Singapore,SGP,2005,1.5
Singapore,SGP,2006,1.5
South Korea,KOR,1970,0.40000001
South Korea,KOR,1971,0.30000001
South Korea,KOR,1972,0.40000001
South Korea,KOR,1973,0.40000001
South Korea,KOR,1974,0.40000001
South Korea,KOR,1975,0.5
South Korea,KOR,1976,0.5
South Korea,KOR,1977,0.60000002
South Korea,KOR,1978,0.5
South Korea,KOR,1979,0.5
South Korea,KOR,1980,0.60000002
South Korea,KOR,1981,0.60000002
South Korea,KOR,1982,0.69999999
South Korea,KOR,1983,0.69999999
South Korea,KOR,1984,0.89999998
South Korea,KOR,1985,0.89999998
South Korea,KOR,1986,0.89999998
South Korea,KOR,1987,1
South Korea,KOR,1988,1
South Korea,KOR,1989,1
South Korea,KOR,1990,1.1
South Korea,KOR,1991,1.1
South Korea,KOR,1992,1.2
South Korea,KOR,1993,1.3
South Korea,KOR,1994,1.4
South Korea,KOR,1995,1.5
South Korea,KOR,1996,1.7
South Korea,KOR,1997,2
South Korea,KOR,1998,2.5
South Korea,KOR,1999,2.5
South Korea,KOR,2000,2.5
South Korea,KOR,2001,2.8
South Korea,KOR,2002,3
South Korea,KOR,2003,3.4000001
South Korea,KOR,2004,2.9000001
South Korea,KOR,2005,2.5999999
South Korea,KOR,2006,2.5
South Korea,KOR,2007,2.5
South Korea,KOR,2008,2.4000001
South Korea,KOR,2009,2.5
South Korea,KOR,2010,2.3
South Korea,KOR,2011,2.3
South Korea,KOR,2012,2.3
South Korea,KOR,2013,2.3
South Korea,KOR,2014,2.3
South Korea,KOR,2015,2.0999999
South Korea,KOR,2016,2.0999999
South Korea,KOR,2017,2.0999999
Turkey,TUR,1970,0.30000001
Turkey,TUR,1985,0.40000001
Turkey,TUR,1995,0.5
Turkey,TUR,2003,0.80000001
Turkey,TUR,2004,1.3
Turkey,TUR,2005,1.4
Turkey,TUR,2006,1.3
Turkey,TUR,2007,1.3
Turkey,TUR,2008,1.4
Turkey,TUR,2009,1.6
Turkey,TUR,2010,1.6
Turkey,TUR,2011,1.6
Turkey,TUR,2012,1.6
Turkey,TUR,2013,1.6
Turkey,TUR,2014,1.7
Turkey,TUR,2015,1.7
Turkey,TUR,2016,1.6
Turkey,TUR,2017,1.6
United Kingdom,GBR,1965,0.69999999
United Kingdom,GBR,1966,0.69999999
United Kingdom,GBR,1967,0.80000001
United Kingdom,GBR,1968,0.80000001
United Kingdom,GBR,1969,0.89999998
United Kingdom,GBR,1970,1
United Kingdom,GBR,1971,1.3
United Kingdom,GBR,1972,2.0999999
United Kingdom,GBR,1973,1.9
United Kingdom,GBR,1974,2
United Kingdom,GBR,1975,2.0999999
United Kingdom,GBR,1976,2.3
United Kingdom,GBR,1977,2.3
United Kingdom,GBR,1978,2.5999999
United Kingdom,GBR,1979,2.5
United Kingdom,GBR,1980,2.5999999
United Kingdom,GBR,1981,2.5999999
United Kingdom,GBR,1982,2.5999999
United Kingdom,GBR,1983,2.5999999
United Kingdom,GBR,1984,2.5999999
United Kingdom,GBR,1985,2.8
United Kingdom,GBR,1986,2.7
United Kingdom,GBR,1987,2.7
United Kingdom,GBR,1988,2.7
United Kingdom,GBR,1989,2.5999999
United Kingdom,GBR,1990,2.7
United Kingdom,GBR,1991,2.8
United Kingdom,GBR,1992,2.8
United Kingdom,GBR,1993,2.9000001
United Kingdom,GBR,1994,2.7
United Kingdom,GBR,1995,2.9000001
United Kingdom,GBR,1996,3
United Kingdom,GBR,1997,2.8
United Kingdom,GBR,1998,2.7
United Kingdom,GBR,1999,2.7
United Kingdom,GBR,2000,2.5999999
United Kingdom,GBR,2001,2.7
United Kingdom,GBR,2002,2.7
United Kingdom,GBR,2003,2.8
United Kingdom,GBR,2004,2.8
United Kingdom,GBR,2005,2.5999999
United Kingdom,GBR,2006,2.4000001
United Kingdom,GBR,2007,2.3
United Kingdom,GBR,2008,2.2
United Kingdom,GBR,2009,2
United Kingdom,GBR,2010,2.0999999
United Kingdom,GBR,2011,2.0999999
United Kingdom,GBR,2012,2
United Kingdom,GBR,2013,2
United Kingdom,GBR,2014,1.9
United Kingdom,GBR,2015,1.7
United Kingdom,GBR,2016,1.8
United States,USA,1960,2.2
United States,USA,1961,2.3
United States,USA,1962,2.2
United States,USA,1963,2.3
United States,USA,1964,2.4000001
United States,USA,1965,2.5
United States,USA,1966,2.5
United States,USA,1967,2.5999999
United States,USA,1968,2.9000001
United States,USA,1969,3.2
United States,USA,1970,3.5
United States,USA,1971,3.7
United States,USA,1972,4
United States,USA,1973,4.3000002
United States,USA,1974,4.5999999
United States,USA,1975,4.8000002
United States,USA,1976,5
United States,USA,1977,5
United States,USA,1978,5.0999999
United States,USA,1979,5.3000002
United States,USA,1980,5.1999998
United States,USA,1981,5.3000002
United States,USA,1982,5
United States,USA,1983,4.9000001
United States,USA,1984,5
United States,USA,1985,5
United States,USA,1986,4.9000001
United States,USA,1987,4.8000002
United States,USA,1988,4.8000002
United States,USA,1989,4.6999998
United States,USA,1990,4.6999998
United States,USA,1991,4.6999998
United States,USA,1992,4.8000002
United States,USA,1993,4.5999999
United States,USA,1994,4.5999999
United States,USA,1995,4.4000001
United States,USA,1996,4.3000002
United States,USA,1997,4.3000002
United States,USA,1998,4.1999998
United States,USA,1999,4.0999999
United States,USA,2000,4.0999999
United States,USA,2001,4
United States,USA,2002,3.9000001
United States,USA,2003,3.8
United States,USA,2004,3.7
United States,USA,2005,3.5999999
United States,USA,2006,3.7
United States,USA,2007,3.5999999
United States,USA,2008,3.5
United States,USA,2009,3.5
United States,USA,2010,3.5999999
United States,USA,2011,3.5999999
United States,USA,2012,3.4000001
United States,USA,2013,3.3
United States,USA,2014,3.2
United States,USA,2015,3.0999999
United States,USA,2016,3
United States,USA,2017,2.9000001
United States,USA,2018,2.9000001